"Date","Price","Open","High","Low","Vol.","Change %"
"31/03/2025","19,278.45","18,998.54","19,316.06","18,799.20","490.21M","-0.02%"
"28/03/2025","19,281.40","19,718.46","19,752.45","19,241.54","374.76M","-2.61%"
"27/03/2025","19,798.62","19,814.61","20,003.36","19,740.22","320.53M","-0.59%"
"26/03/2025","19,916.99","20,239.04","20,270.19","19,848.49","346.04M","-1.83%"
"25/03/2025","20,287.83","20,196.50","20,292.19","20,164.07","298.93M","0.53%"
"24/03/2025","20,180.45","20,041.21","20,208.84","20,024.97","388.88M","2.16%"
"21/03/2025","19,753.97","19,466.44","19,767.98","19,409.18","845.83M","0.39%"
"20/03/2025","19,677.61","19,558.28","19,888.85","19,549.31","371.49M","-0.30%"
"19/03/2025","19,736.66","19,576.32","19,921.62","19,497.79","395.74M","1.30%"
"18/03/2025","19,483.36","19,657.10","19,676.05","19,397.07","333.56M","-1.66%"
"17/03/2025","19,812.23","19,670.69","19,943.81","19,622.47","353.80M","0.55%"
"14/03/2025","19,704.64","19,458.89","19,729.21","19,436.04","373.66M","2.49%"
"13/03/2025","19,225.48","19,534.37","19,558.56","19,152.57","398.60M","-1.89%"
"12/03/2025","19,596.02","19,663.39","19,756.09","19,375.25","408.81M","1.13%"
"11/03/2025","19,376.96","19,405.52","19,659.43","19,180.56","461.55M","-0.28%"
"10/03/2025","19,430.95","19,826.96","19,867.08","19,243.31","532.76M","-3.81%"
"07/03/2025","20,201.37","20,015.62","20,253.22","19,736.81","413.92M","0.74%"
"06/03/2025","20,052.63","20,231.74","20,473.40","19,968.56","432.28M","-2.79%"
"05/03/2025","20,628.46","20,363.22","20,688.72","20,182.57","372.54M","1.36%"
"04/03/2025","20,352.53","20,281.88","20,688.46","20,034.68","490.25M","-0.36%"
"03/03/2025","20,425.58","20,989.58","21,073.80","20,279.50","446.27M","-2.20%"
"28/02/2025","20,884.41","20,518.65","20,900.77","20,407.45","566.78M","1.62%"
"27/02/2025","20,550.95","21,281.36","21,323.91","20,540.68","438.29M","-2.75%"
"26/02/2025","21,132.92","21,170.51","21,350.52","21,012.62","346.42M","0.22%"
"25/02/2025","21,087.24","21,318.77","21,326.81","20,930.58","409.08M","-1.24%"
"24/02/2025","21,352.08","21,669.36","21,727.58","21,341.96","395.00M","-1.21%"
"21/02/2025","21,614.08","22,110.54","22,115.21","21,597.16","396.39M","-2.06%"
"20/02/2025","22,068.06","22,132.71","22,148.44","21,878.75","326.25M","-0.48%"
