"Date","Price","Open","High","Low","Vol.","Change %"
"31/03/2025","468.92","461.92","469.86","457.33","53.00M","0.00%"
"28/03/2025","468.94","479.81","480.52","468.05","46.36M","-2.63%"
"27/03/2025","481.62","482.41","486.58","480.25","33.47M","-0.57%"
"26/03/2025","484.38","492.30","493.16","482.82","35.04M","-1.84%"
"25/03/2025","493.46","491.39","493.62","490.42","26.04M","0.57%"
"24/03/2025","490.66","487.74","491.51","484.40","34.57M","2.04%"
"21/03/2025","480.84","474.08","481.61","472.90","42.23M","0.33%"
"20/03/2025","479.26","476.88","484.55","476.18","36.78M","-0.34%"
"19/03/2025","480.89","476.81","485.33","474.87","40.43M","1.34%"
"18/03/2025","474.54","479.41","479.61","472.41","39.07M","-1.70%"
"17/03/2025","482.77","479.61","485.84","477.80","41.74M","0.65%"
"14/03/2025","479.66","473.73","480.56","473.12","43.56M","2.42%"
"13/03/2025","468.34","476.25","476.28","466.43","46.56M","-1.80%"
"12/03/2025","476.92","479.16","481.06","471.79","46.97M","1.13%"
"11/03/2025","471.60","472.35","478.80","467.01","68.76M","-0.24%"
"10/03/2025","472.73","483.45","483.97","468.66","76.67M","-3.88%"
"07/03/2025","491.79","487.16","493.28","480.53","54.71M","0.74%"
"06/03/2025","488.20","493.69","498.58","486.20","57.57M","-2.75%"
"05/03/2025","502.01","496.20","503.63","491.26","46.32M","1.30%"
"04/03/2025","495.55","494.18","503.74","487.73","67.88M","-0.30%"
"03/03/2025","497.05","511.52","513.04","493.58","44.59M","-2.19%"
"28/02/2025","508.17","500.13","508.78","496.93","47.65M","1.58%"
"27/02/2025","500.27","518.13","519.07","500.05","52.45M","-2.78%"
"26/02/2025","514.56","515.53","519.66","511.37","34.46M","0.24%"
"25/02/2025","513.32","519.24","519.32","509.44","48.94M","-1.26%"
"24/02/2025","519.87","527.88","529.07","519.53","39.27M","-1.18%"
"21/02/2025","526.08","538.38","538.40","525.71","47.09M","-2.08%"
"20/02/2025","537.23","538.73","539.10","532.46","26.55M","-0.42%"
"19/02/2025","539.52","538.57","540.81","536.46","19.67M","0.03%"
"18/02/2025","539.37","539.73","540.00","536.04","20.57M","0.23%"
"14/02/2025","538.15","536.01","538.84","535.67","17.86M","0.42%"
"13/02/2025","535.90","529.98","536.22","529.19","28.71M","1.44%"
"12/02/2025","528.30","522.30","529.19","521.95","25.01M","0.06%"
"11/02/2025","527.99","525.96","529.92","525.83","19.33M","-0.24%"
